,voice,acc
0,,
1,,
2,3.30142,2.0143
3,4.61195,3.30037
4,3.21139,2.96836
5,3.22706,1.58556
6,0.28739,3.3055
7,-7.37308,3.21456
8,7.40735,6.18887
9,7.10135,5.82893
10,4.50632,6.93465
11,6.00693,6.62533
12,4.93902,5.60085
13,6.34297,5.54824
14,7.37185,6.24603
15,6.71313,5.06444
16,6.4494,5.70115
17,4.57868,6.62346
18,1.12207,5.69432
19,-49.86288,5.09268
20,,
21,7.91601,7.75795
22,8.19594,6.4408
23,7.06155,6.45461
24,6.46281,5.93507
25,7.23202,6.38457
26,5.29104,7.25313
27,8.04469,6.41283
28,6.25612,5.02874
29,3.35435,4.76248
30,3.87683,6.07241
31,2.67569,5.79026
32,-5.04025,7.67353
33,4.82949,6.11865
34,6.31161,5.36418
35,5.21735,4.60982
36,8.02901,5.95101
37,5.8949,5.6817
38,4.9796,6.99624
39,0.38855,7.12893
40,7.11778,6.29883
41,7.03547,7.2046
42,6.60548,5.76505
43,5.2131,6.70593
44,6.15535,5.26912
45,5.84256,6.92815
46,4.78569,5.45922
47,4.91807,2.89548
48,4.71596,3.87651
49,4.08495,3.85361
50,5.27292,3.71065
51,5.31662,3.47451
52,5.00494,3.01122
53,5.00483,4.21128
54,4.83044,3.67523
55,3.23782,4.4396
56,4.54925,4.56437
57,5.03332,3.45641
58,4.31387,1.80305
59,4.06402,1.88713
60,2.59113,1.17038
61,2.4822,1.60603
62,3.65828,2.15261
63,4.47599,2.34463
64,4.58612,4.21602
65,5.46167,5.0833
66,8.18115,6.83971
67,8.83498,4.88157
68,6.19897,4.805
69,-0.12195,6.58988
70,-0.09375,4.4144
71,7.89109,5.93826
72,8.34613,5.00966
73,6.18015,-1.08866
74,5.46501,6.02408
75,4.90053,4.71801
76,4.88631,6.77508
77,4.49848,13.41004
78,7.33576,7.7639
79,7.32259,6.16458
80,3.83773,4.87596
81,3.38034,5.59015
82,-6.13694,5.90415
83,,
84,6.55848,6.69467
85,7.77859,7.32096
86,6.49261,6.26943
87,6.05521,5.15311
88,5.76734,4.83488
89,3.96438,5.17583
90,7.41541,6.42476
91,8.24865,5.74849
92,4.6314,4.4279
93,4.546,6.49587
94,0.65278,5.33658
95,,
96,3.14499,6.73473
97,7.52244,6.51456
98,5.83209,5.95006
99,7.53123,6.70392
100,5.91253,6.50892
101,2.55696,6.89109
102,-5.47307,8.37108
103,7.28577,5.91079
104,7.20282,7.59174
105,3.99582,6.07561
106,2.23618,5.39086
107,4.96184,5.50223
108,6.85545,7.70898
109,4.77434,6.3568
110,5.52826,3.83667
111,5.04925,3.5696
112,4.64789,4.22879
113,6.2005,4.10336
114,5.61612,3.54301
115,5.27874,3.69215
116,4.43185,3.88046
117,5.27957,3.80708
118,3.87273,3.82276
119,4.87344,5.00148
120,5.53518,3.6701
121,4.15092,2.05428
